block_size,write_pct,leaders,followers,rate_process,iops,read_iops,read_latency,write_latency,read_tpt,write_tpt,total_writes
128k,100,1,0,poisson,730,0,0.0,1346.61731,0,93539,1048576
128k,100,1,0,poisson,737,0,0.0,1335.305298,0,94398,1048576
128k,100,1,0,poisson,727,0,0.0,1354.704468,0,93066,1048576
128k,100,1,0,poisson,728,0,0.0,1353.682739,0,93223,1048576
128k,100,1,0,poisson,733,0,0.0,1343.600708,0,93874,1048576
128k,100,1,0,poisson,726,0,0.0,1357.911865,0,92942,1048576
128k,100,1,0,poisson,734,0,0.0,1343.739014,0,93966,1048576
128k,100,1,0,poisson,733,0,0.0,1344.280151,0,93891,1048576
128k,100,1,0,poisson,735,0,0.0,1341.325073,0,94169,1048576
128k,100,1,0,poisson,737,0,0.0,1337.21875,0,94415,1048576
128k,100,1,0,poisson,738,0,0.0,1337.025024,0,94474,1048576
128k,100,1,0,poisson,718,0,0.0,1373.800171,0,91964,1048576
128k,100,1,0,poisson,706,0,0.0,1397.254395,0,90441,1048576
128k,100,2,0,poisson,539,0,0.0,1837.286987,0,69007,1048576
128k,100,2,0,poisson,539,0,0.0,1833.63147,0,69112,1048576
128k,100,2,0,poisson,538,0,0.0,1836.073242,0,68939,1048576
128k,100,2,0,poisson,540,0,0.0,1833.575806,0,69121,1048576
128k,100,2,0,poisson,539,0,0.0,1834.578125,0,69057,1048576
128k,100,2,0,poisson,539,0,0.0,1835.450562,0,69067,1048576
128k,100,1,1,poisson,545,0,0.0,3642.014404,0,69788,1048576
128k,100,1,1,poisson,552,0,0.0,3578.47644,0,70715,1048576
128k,100,1,1,poisson,547,0,0.0,3623.318604,0,70049,1048576
128k,100,1,1,poisson,545,0,0.0,3646.503296,0,69770,1048576
128k,100,1,1,poisson,545,0,0.0,3642.809937,0,69770,1048576
128k,100,1,1,poisson,548,0,0.0,3621.561157,0,70251,1048576
128k,100,1,1,poisson,546,0,0.0,3639.397461,0,69919,1048576
128k,100,4,0,poisson,539,0,0.0,1833.859741,0,69026,1048576
128k,100,4,0,poisson,540,0,0.0,1831.812988,0,69121,1048576
128k,100,3,1,poisson,540,0,0.0,2697.481689,0,69162,1048576
128k,100,3,1,poisson,541,0,0.0,2691.937622,0,69272,1048576
128k,100,3,1,poisson,540,0,0.0,2695.069702,0,69180,1048576
128k,100,3,1,poisson,543,0,0.0,2670.944214,0,69538,1048576
128k,100,2,2,poisson,539,0,0.0,3673.646973,0,69044,1048576
128k,100,2,2,poisson,539,0,0.0,3674.006714,0,69094,1048576
128k,100,2,2,poisson,539,0,0.0,3677.48584,0,69017,1048576
128k,100,2,2,poisson,539,0,0.0,3656.553101,0,69007,1048576
128k,100,2,2,poisson,540,0,0.0,3667.633911,0,69190,1048576
128k,100,1,3,poisson,536,0,0.0,2700.985352,0,68646,1048576
128k,100,1,3,poisson,532,0,0.0,2729.996338,0,68217,1048576
128k,100,6,0,poisson,609,0,0.0,1614.729492,0,78019,393216
128k,100,5,1,poisson,599,0,0.0,2008.965169,0,76710,393216
128k,100,5,1,poisson,581,0,0.0,2064.299154,0,74388,393216
128k,100,4,2,poisson,600,0,0.0,2677.948568,0,76860,393216
128k,100,4,2,poisson,599,0,0.0,2637.685547,0,76785,393216
128k,100,4,2,poisson,598,0,0.0,2690.390625,0,76605,393216
128k,100,3,3,poisson,600,0,0.0,3288.41276,0,76920,393216
128k,100,3,3,poisson,601,0,0.0,3288.059896,0,76965,393216
128k,100,3,3,poisson,609,0,0.0,3252.685221,0,78003,393216
128k,100,3,3,poisson,607,0,0.0,3243.71224,0,77818,393216
128k,100,2,4,poisson,605,0,0.0,2595.702799,0,77542,393216
128k,100,2,4,poisson,608,0,0.0,2597.401693,0,77833,393216
128k,100,1,5,poisson,616,0,0.0,1879.107096,0,78959,393216
128k,100,8,0,poisson,578,0,0.0,1702.937744,0,74083,524288
128k,100,7,1,poisson,576,0,0.0,1962.111816,0,73801,524288
128k,100,6,2,poisson,579,0,0.0,2440.860352,0,74219,524288
128k,100,5,3,poisson,577,0,0.0,2961.351318,0,73874,524288
128k,100,6,2,poisson,579,0,0.0,2448.510254,0,74125,524288
128k,100,5,3,poisson,568,0,0.0,3005.976562,0,72747,524288
128k,100,4,4,poisson,570,0,0.0,3467.951904,0,73000,524288
128k,100,4,4,poisson,572,0,0.0,3458.365967,0,73224,524288
128k,100,4,4,poisson,571,0,0.0,3465.570557,0,73173,524288
128k,100,3,5,poisson,573,0,0.0,2954.122559,0,73357,524288
128k,100,3,5,poisson,573,0,0.0,2956.954834,0,73398,524288
128k,100,2,6,poisson,577,0,0.0,2435.79834,0,73864,524288
128k,100,1,7,poisson,587,0,0.0,1882.066162,0,75253,524288
128k,100,11,1,poisson,601,0,0.0,1760.000651,0,77025,393216
128k,100,10,2,poisson,592,0,0.0,2040.788411,0,75866,393216
128k,100,9,3,poisson,596,0,0.0,2438.157878,0,76367,393216
128k,100,8,4,poisson,597,0,0.0,2725.955404,0,76486,393216
128k,100,8,4,poisson,600,0,0.0,2740.015299,0,76800,393216
128k,100,7,5,poisson,602,0,0.0,2936.440755,0,77161,393216
128k,100,6,6,poisson,604,0,0.0,3266.821289,0,77343,393216
128k,100,6,6,poisson,604,0,0.0,3274.333008,0,77359,393216
128k,100,5,7,poisson,604,0,0.0,2934.693034,0,77343,393216
128k,100,5,7,poisson,604,0,0.0,2933.064128,0,77419,393216
128k,100,4,8,poisson,608,0,0.0,2585.865234,0,77879,393216
128k,100,3,9,poisson,609,0,0.0,2247.66569,0,78034,393216
128k,100,2,10,poisson,610,0,0.0,1900.787109,0,78143,393216
128k,100,15,1,poisson,580,0,0.0,1791.605713,0,74324,524288
128k,100,13,3,poisson,580,0,0.0,2205.578613,0,74356,524288
128k,100,12,4,poisson,578,0,0.0,2457.265625,0,74072,524288
128k,100,10,6,poisson,568,0,0.0,3018.2771,0,72736,524288
128k,100,11,5,poisson,572,0,0.0,2736.075439,0,73296,524288
128k,100,9,7,poisson,572,0,0.0,3228.083984,0,73265,524288
128k,100,8,8,poisson,573,0,0.0,3458.110107,0,73368,524288
128k,100,8,8,poisson,572,0,0.0,3456.416016,0,73224,524288
128k,100,7,9,poisson,579,0,0.0,3200.161377,0,74198,524288
128k,100,6,10,poisson,579,0,0.0,2916.514893,0,74177,524288
128k,100,5,11,poisson,580,0,0.0,2666.991943,0,74261,524288
128k,100,4,12,poisson,578,0,0.0,2427.246094,0,74010,524288
128k,100,2,14,poisson,580,0,0.0,1927.427979,0,74282,524288
128k,100,18,2,poisson,562,0,0.0,1953.66543,0,71978,655360
128k,100,16,4,poisson,562,0,0.0,2346.366797,0,72041,655360
128k,100,14,6,poisson,563,0,0.0,2739.67207,0,72144,655360
128k,100,12,8,poisson,562,0,0.0,3177.852344,0,71946,655360
128k,100,13,7,poisson,563,0,0.0,2914.587891,0,72128,655360
128k,100,11,9,poisson,558,0,0.0,3369.595703,0,71452,655360
128k,100,10,10,poisson,555,0,0.0,3558.564063,0,71041,655360
128k,100,9,11,poisson,557,0,0.0,3361.625391,0,71304,655360
128k,100,8,12,poisson,557,0,0.0,3159.378711,0,71389,655360
128k,100,7,13,poisson,559,0,0.0,2949.960156,0,71600,655360
128k,100,6,14,poisson,560,0,0.0,2748.894336,0,71702,655360
128k,100,4,16,poisson,562,0,0.0,2333.142969,0,71985,655360
128k,100,2,18,poisson,561,0,0.0,1941.643164,0,71875,655360
128k,100,23,2,poisson,550,0,0.0,1951.136406,0,70438,819200
128k,100,20,5,poisson,550,0,0.0,2429.380625,0,70517,819200
128k,100,18,7,poisson,550,0,0.0,2747.386406,0,70493,819200
128k,100,15,10,poisson,550,0,0.0,3217.241406,0,70450,819200
128k,100,17,8,poisson,550,0,0.0,2907.787188,0,70517,819200
128k,100,14,11,poisson,550,0,0.0,3354.188906,0,70402,819200
128k,100,13,12,poisson,551,0,0.0,3537.390156,0,70529,819200
128k,100,12,13,poisson,549,0,0.0,3529.910313,0,70275,819200
128k,100,10,15,poisson,544,0,0.0,3247.465,0,69719,819200
128k,100,9,16,poisson,545,0,0.0,3080.699219,0,69843,819200
128k,100,8,17,poisson,550,0,0.0,2905.417656,0,70480,819200
128k,100,5,20,poisson,549,0,0.0,2413.389531,0,70371,819200
128k,100,3,22,poisson,549,0,0.0,2099.325781,0,70299,819200
128k,100,27,3,poisson,542,0,0.0,2085.059375,0,69379,983040
128k,100,24,6,poisson,542,0,0.0,2483.60013,0,69428,983040
128k,100,21,9,poisson,542,0,0.0,2883.149349,0,69379,983040
128k,100,18,12,poisson,541,0,0.0,3281.956641,0,69301,983040
128k,100,20,10,poisson,541,0,0.0,3010.551432,0,69369,983040
128k,100,17,13,poisson,541,0,0.0,3407.201172,0,69364,983040
128k,100,15,15,poisson,542,0,0.0,3658.242578,0,69453,983040
128k,100,14,16,poisson,541,0,0.0,3526.628255,0,69272,983040
128k,100,12,18,poisson,541,0,0.0,3261.756771,0,69286,983040
128k,100,11,19,poisson,539,0,0.0,3131.186328,0,68999,983040
128k,100,9,21,poisson,538,0,0.0,2869.363932,0,68907,983040
128k,100,6,24,poisson,540,0,0.0,2482.097005,0,69169,983040
128k,100,3,27,poisson,541,0,0.0,2075.190755,0,69320,983040
128k,100,32,3,poisson,535,0,0.0,2070.581138,0,68601,1146880
128k,100,28,7,poisson,535,0,0.0,2525.392187,0,68564,1146880
128k,100,25,10,poisson,536,0,0.0,2880.750446,0,68724,1146880
128k,100,21,14,poisson,537,0,0.0,3299.685603,0,68823,1146880
128k,100,23,12,poisson,536,0,0.0,3087.628571,0,68679,1146880
128k,100,20,15,poisson,537,0,0.0,3402.883371,0,68823,1146880
128k,100,18,17,poisson,536,0,0.0,3634.674888,0,68724,1146880
128k,100,16,19,poisson,536,0,0.0,3509.853906,0,68663,1146880
128k,100,14,21,poisson,536,0,0.0,3286.863281,0,68622,1146880
128k,100,13,22,poisson,536,0,0.0,3186.748996,0,68663,1146880
128k,100,11,24,poisson,534,0,0.0,3007.335268,0,68376,1146880
128k,100,7,28,poisson,533,0,0.0,2526.633594,0,68307,1146880
128k,100,4,31,poisson,535,0,0.0,2171.151004,0,68605,1146880
128k,100,36,4,poisson,531,0,0.0,2155.72334,0,68071,1310720
128k,100,32,8,poisson,532,0,0.0,2548.820898,0,68153,1310720
128k,100,28,12,poisson,532,0,0.0,2942.973437,0,68153,1310720
128k,100,24,16,poisson,555,0,0.0,3210.877148,0,71138,1310720
128k,100,26,14,poisson,561,0,0.0,2984.333594,0,71910,1310720
128k,100,22,18,poisson,564,0,0.0,3339.724902,0,72208,1310720
128k,100,20,20,poisson,564,0,0.0,3507.009668,0,72208,1310720
128k,100,18,22,poisson,564,0,0.0,3328.894824,0,72208,1310720
128k,100,16,24,poisson,564,0,0.0,3138.4875,0,72192,1310720
128k,100,14,26,poisson,563,0,0.0,2962.669336,0,72164,1310720
128k,100,12,28,poisson,562,0,0.0,2765.733594,0,72061,1310720
128k,100,8,32,poisson,562,0,0.0,2407.223047,0,71985,1310720
128k,100,4,36,poisson,563,0,0.0,2022.360937,0,72188,1310720
128k,100,41,4,poisson,560,0,0.0,2035.685937,0,71768,1474560
128k,100,36,9,poisson,560,0,0.0,2430.596354,0,71775,1474560
128k,100,32,13,poisson,560,0,0.0,2755.986372,0,71768,1474560
128k,100,27,18,poisson,560,0,0.0,3169.301042,0,71761,1474560
128k,100,30,15,poisson,560,0,0.0,2922.687674,0,71768,1474560
128k,100,25,20,poisson,560,0,0.0,3339.16276,0,71761,1474560
128k,100,23,22,poisson,560,0,0.0,3517.874479,0,71761,1474560
128k,100,21,24,poisson,560,0,0.0,3402.090885,0,71761,1474560
128k,100,18,27,poisson,560,0,0.0,3155.582031,0,71768,1474560
128k,100,16,29,poisson,560,0,0.0,2991.014149,0,71768,1474560
128k,100,14,31,poisson,560,0,0.0,2846.120139,0,71754,1474560
128k,100,9,36,poisson,558,0,0.0,2431.340538,0,71528,1474560
128k,100,5,40,poisson,560,0,0.0,2077.756076,0,71737,1474560
128k,100,45,5,poisson,557,0,0.0,2070.505391,0,71396,1638400
128k,100,40,10,poisson,557,0,0.0,2452.677266,0,71411,1638400
128k,100,35,15,poisson,557,0,0.0,2816.00125,0,71408,1638400
128k,100,30,20,poisson,557,0,0.0,3192.308594,0,71414,1638400
128k,100,33,17,poisson,557,0,0.0,2954.339375,0,71417,1638400
128k,100,28,22,poisson,557,0,0.0,3338.069688,0,71417,1638400
128k,100,25,25,poisson,558,0,0.0,3551.746719,0,71424,1638400
128k,100,23,27,poisson,558,0,0.0,3403.435391,0,71424,1638400
128k,100,20,30,poisson,557,0,0.0,3174.768906,0,71411,1638400
128k,100,18,32,poisson,558,0,0.0,3033.903438,0,71424,1638400
128k,100,15,35,poisson,558,0,0.0,2806.650781,0,71430,1638400
128k,100,10,40,poisson,556,0,0.0,2441.663359,0,71210,1638400
128k,100,5,45,poisson,557,0,0.0,2062.719453,0,71408,1638400
128k,10,1,0,poisson,1948,1755,420.362331,1205.423645,224700,24723,103936
128k,10,1,0,poisson,1949,1756,419.860569,1220.501232,224807,24734,103936
128k,10,1,0,poisson,1945,1753,420.966667,1213.264778,224433,24693,103936
128k,10,1,0,poisson,1957,1763,418.707995,1210.100985,225720,24835,103936
128k,10,1,0,poisson,1955,1762,417.856504,1216.236453,225612,24823,103936
128k,10,1,0,poisson,1878,1692,441.018428,1207.747537,216610,23833,103936
128k,10,1,0,poisson,1956,1763,418.848238,1209.434729,225666,24829,103936
128k,10,1,0,poisson,1960,1766,416.25393,1213.216749,226098,24876,103936
128k,10,1,0,poisson,1960,1766,415.688076,1213.178571,226098,24876,103936
128k,10,1,0,poisson,1967,1772,416.125339,1221.695813,226858,24960,103936
128k,10,1,0,poisson,1965,1771,416.181301,1209.816502,226749,24948,103936
128k,10,1,0,poisson,1931,1740,424.150813,1220.139163,222739,24507,103936
128k,10,1,0,poisson,1939,1747,420.724526,1219.796798,223636,24606,103936
128k,10,2,0,poisson,652,588,1467.379946,1967.624384,75270,8281,103936
128k,10,2,0,poisson,652,588,1490.547696,1736.275862,75330,8288,103936
128k,10,2,0,poisson,640,577,1532.42168,1641.507389,73950,8136,103936
128k,10,2,0,poisson,651,587,1492.213415,1749.174877,75246,8279,103936
128k,10,2,0,poisson,652,588,1485.642005,1781.309113,75276,8282,103936
128k,10,2,0,poisson,652,588,1491.21355,1727.418719,75330,8288,103936
128k,10,1,1,poisson,2551,1721,432.04204,1297.662153,220324,106312,576640
128k,10,1,1,poisson,2552,1719,431.680228,1295.956493,220119,106706,576640
128k,10,1,1,poisson,2574,1737,427.526173,1288.270588,222401,107241,576640
128k,10,1,1,poisson,2417,1598,441.300787,1345.721199,204566,104939,576640
128k,10,1,1,poisson,2542,1727,431.141036,1320.344728,221150,104444,576640
128k,10,1,1,poisson,2567,1730,429.185517,1290.039068,221566,107261,576640
128k,10,1,1,poisson,2428,1622,465.568213,1335.943396,207718,103284,576640
128k,10,4,0,poisson,582,525,1636.10664,2270.475369,67277,7402,103936
128k,10,4,0,poisson,582,525,1667.147425,1989.860837,67277,7402,103936
128k,10,3,1,poisson,745,503,1730.13337,2108.249437,64413,31076,341248
128k,10,3,1,poisson,745,503,1721.933044,2126.025131,64402,31070,341248
128k,10,3,1,poisson,744,502,1727.548317,2166.516129,64337,31039,341248
128k,10,3,1,poisson,745,503,1735.752081,2111.58102,64402,31070,341248
128k,10,2,2,poisson,613,287,3040.59642,3395.647059,36783,41770,576640
128k,10,2,2,poisson,618,291,3000.969352,3374.048169,37301,41949,576640
128k,10,2,2,poisson,616,288,3046.145647,3361.321199,36936,41995,576640
128k,10,2,2,poisson,607,280,3128.935991,3379.5596,35910,41925,576640
128k,10,2,2,poisson,614,287,3039.69189,3377.098113,36849,41949,576640
128k,10,1,3,poisson,1900,1341,555.027159,1821.742245,171755,71642,812928
128k,10,1,3,poisson,1853,1296,575.785986,1829.719887,165949,71303,812928
128k,10,6,0,poisson,655,591,1452.49368,2035.745875,75700,8283,38784
128k,10,5,1,poisson,769,577,1484.972656,1869.042969,73931,24643,98304
128k,10,5,1,poisson,769,577,1486.722222,1874.420573,73875,24625,98304
128k,10,4,2,poisson,640,384,2261.821836,3476.962632,49154,32867,157568
128k,10,4,2,poisson,649,389,2235.305269,3184.783916,49862,33340,157568
128k,10,4,2,poisson,649,389,2228.231396,3204.760357,49914,33375,157568
128k,10,3,3,poisson,680,324,2669.596798,3105.23086,41587,45622,217344
128k,10,3,3,poisson,691,331,2618.912664,3073.282686,42389,46086,217344
128k,10,3,3,poisson,688,329,2632.93377,3075.18669,42165,46027,217344
128k,10,3,3,poisson,694,335,2592.386463,3070.762662,42937,45959,217344
128k,10,2,4,poisson,929,456,1846.049505,2233.636616,58468,60582,276864
128k,10,2,4,poisson,919,448,1883.656766,2243.716135,57344,60332,276864
128k,10,1,5,poisson,1982,1328,574.801325,1539.302787,170041,83724,335232
128k,10,8,0,poisson,619,558,1534.228641,2143.633252,71505,7932,52352
128k,10,7,1,poisson,694,546,1567.360472,1917.474943,69897,19070,112384
128k,10,6,2,poisson,609,412,2110.434453,3179.345893,52742,25276,169856
128k,10,5,3,poisson,615,346,2524.008681,3371.948103,44387,34523,229376
128k,10,6,2,poisson,611,413,2100.68978,3168.751319,52955,25378,169856
128k,10,5,3,poisson,615,346,2481.154948,3480.772321,44374,34513,229376
128k,10,4,4,poisson,638,300,2911.178707,3259.009313,38523,43339,288640
128k,10,4,4,poisson,638,300,2919.696904,3265.984479,38410,43306,288640
128k,10,4,4,poisson,633,297,2949.248235,3281.345898,38038,43093,288640
128k,10,3,5,poisson,738,329,2634.237991,2618.438281,42155,52472,348416
128k,10,3,5,poisson,736,327,2643.582969,2619.120132,41974,52464,348416
128k,10,2,6,poisson,966,477,1757.905391,2117.141199,61109,62682,407936
128k,10,1,7,poisson,2292,1677,424.922737,1629.41916,214755,78767,466304
128k,10,11,1,poisson,685,566,1514.171857,1770.82243,72534,15295,68480
128k,10,10,2,poisson,649,487,1771.303385,2648.856771,62362,20787,98304
128k,10,9,3,poisson,650,438,1963.283092,3012.075848,56099,27155,128256
128k,10,8,4,poisson,647,388,2234.970125,3206.090171,49756,33270,157568
128k,10,8,4,poisson,647,388,2234.903313,3197.748172,49756,33270,157568
128k,10,7,5,poisson,642,337,2582.860956,3366.379192,43184,39163,187008
128k,10,6,6,poisson,683,326,2656.707424,3089.646643,41844,45814,217344
128k,10,6,6,poisson,682,325,2667.776565,3094.161955,41656,45775,217344
128k,10,5,7,poisson,751,346,2486.260298,2673.619368,44378,51936,247168
128k,10,5,7,poisson,762,356,2429.992112,2658.778353,45625,52046,247168
128k,10,4,8,poisson,850,395,2155.066007,2327.098012,50631,58360,276864
128k,10,3,9,poisson,1019,515,1638.866764,2045.165341,65930,64608,305792
128k,10,2,10,poisson,2175,1612,438.461369,1787.643757,206348,72077,335232
128k,10,15,1,poisson,647,546,1559.636364,1881.113707,70009,13012,82176
128k,10,13,3,poisson,613,448,1925.973244,3125.96745,57353,21215,141568
128k,10,12,4,poisson,615,416,2082.732756,3154.812359,53298,25542,169856
128k,10,10,6,poisson,599,337,2608.126736,3467.93471,43159,33568,229376
128k,10,11,5,poisson,607,376,2314.325581,3327.769083,48180,29607,199552
128k,10,9,7,poisson,614,310,2817.32029,3463.589339,39771,38926,259328
128k,10,8,8,poisson,639,301,2905.577947,3261.607095,38580,43339,288640
128k,10,8,8,poisson,626,292,3014.016295,3301.145898,37380,42755,288640
128k,10,7,9,poisson,691,318,2753.56797,2902.086922,40784,47774,318080
128k,10,6,10,poisson,736,328,2639.11936,2631.948935,42014,52267,348416
128k,10,5,11,poisson,802,359,2390.990359,2383.003723,46028,56792,378240
128k,10,4,12,poisson,874,396,2140.9978,2178.927204,50786,61214,407936
128k,10,2,14,poisson,2195,1641,437.264901,1806.343124,210086,70996,466304
128k,10,18,2,poisson,596,483,1783.790933,2630.281603,61938,14532,124544
128k,10,16,4,poisson,597,430,2007.192297,3100.766225,55152,21435,183424
128k,10,14,6,poisson,597,375,2311.990056,3347.846477,48097,28427,243456
128k,10,12,8,poisson,595,322,2715.848321,3488.378988,41261,35032,300928
128k,10,13,7,poisson,589,344,2544.21806,3398.714554,44127,31435,272640
128k,10,11,9,poisson,583,289,3053.455656,3490.345722,37044,37716,330624
128k,10,10,10,poisson,633,305,2818.96658,3383.538707,39133,42059,360448
128k,10,9,11,poisson,646,291,3007.002899,3074.005246,37271,45533,390400
128k,10,8,12,poisson,676,296,2952.804997,2835.010369,38007,48713,419712
128k,10,7,13,poisson,733,324,2703.496586,2593.334853,41490,52397,449152
128k,10,6,14,poisson,774,338,2563.172489,2410.317138,43307,55923,479488
128k,10,4,16,poisson,893,402,2096.140814,2099.13156,51551,62865,539008
128k,10,2,18,poisson,2185,1635,434.83223,1815.365117,209328,70436,597376
128k,10,23,2,poisson,573,475,1837.722914,2496.77314,60874,12662,141056
128k,10,20,5,poisson,568,409,2163.008245,3102.306533,52426,20372,229248
128k,10,18,7,poisson,583,378,2297.707258,3407.317798,48387,26288,288384
128k,10,15,10,poisson,582,314,2791.107701,3439.835031,40279,34355,377088
128k,10,17,8,poisson,577,353,2516.333248,3393.516687,45216,28738,318336
128k,10,14,11,poisson,573,288,3040.139528,3523.369893,36928,36515,407296
128k,10,13,12,poisson,580,271,3281.087625,3354.481525,34739,39618,436480
128k,10,12,13,poisson,610,280,3148.307692,3310.289452,35920,42367,464768
128k,10,10,15,poisson,649,277,3179.309462,2899.699219,35497,47671,524288
128k,10,9,16,poisson,692,298,2926.128986,2712.670208,38206,50523,554240
128k,10,8,17,poisson,724,309,2829.281912,2547.504935,39571,53195,583552
128k,10,5,20,poisson,847,369,2314.625767,2153.494391,47249,61307,673152
128k,10,3,22,poisson,1062,541,1552.026354,1934.333392,69329,66786,731776
128k,10,27,3,poisson,535,434,2079.534951,2535.818806,55566,13009,186496
128k,10,24,6,poisson,546,393,2286.32899,2993.302228,50361,19630,275712
128k,10,21,9,poisson,562,354,2499.924158,3340.981345,45439,26678,363648
128k,10,18,12,poisson,509,275,3300.345792,3263.437588,35246,30028,452224
128k,10,20,10,poisson,568,341,2610.29616,3337.318789,43719,29130,393088
128k,10,17,13,poisson,573,292,3013.522872,3519.507831,37433,36037,482176
128k,10,15,15,poisson,567,255,3483.936306,3434.507336,32710,40021,540928
128k,10,14,16,poisson,570,239,3745.770044,3229.99619,30599,42428,571136
128k,10,12,18,poisson,636,270,3266.280246,2939.248422,34680,46974,628608
128k,10,11,19,poisson,663,281,3137.464328,2797.982306,35989,48955,658304
128k,10,9,21,poisson,707,288,3032.547343,2521.381105,36892,53736,718080
128k,10,6,24,poisson,802,331,2621.57933,2189.731684,42440,60308,807168
128k,10,3,27,poisson,1039,515,1637.285505,1921.129484,65930,67077,895616
128k,10,32,3,poisson,532,439,2062.406098,2433.625949,56198,12031,202240
128k,10,28,7,poisson,568,409,2136.474272,3247.680223,52385,20363,321024
128k,10,25,10,poisson,567,364,2413.088935,3393.552607,46718,25992,409984
128k,10,21,14,poisson,565,305,2935.020665,3280.229313,39167,33355,527488
128k,10,23,12,poisson,563,333,2684.887882,3259.824413,42725,29532,468736
128k,10,20,15,poisson,554,285,3089.69603,3563.009423,36540,34495,556928
128k,10,18,17,poisson,557,258,3466.242103,3364.301475,33064,38374,616064
128k,10,16,19,poisson,584,250,3545.697044,3270.243125,32126,42818,674944
128k,10,14,21,poisson,628,264,3317.374767,2977.853013,33898,46608,734976
128k,10,13,22,poisson,649,271,3229.147157,2840.979397,34783,48499,764160
128k,10,11,24,poisson,686,281,3121.290501,2612.437179,36073,51916,822144
128k,10,7,28,poisson,775,310,2816.761018,2217.090897,39754,59607,940672
128k,10,4,31,poisson,910,400,2121.688669,1982.163334,51278,65359,1030528
128k,10,36,4,poisson,560,454,1969.486568,2642.463641,58141,13580,248192
128k,10,32,8,poisson,560,404,2192.451762,3168.702448,51820,20082,366080
128k,10,28,12,poisson,563,355,2504.41274,3281.94113,45486,26705,484864
128k,10,24,16,poisson,554,299,2976.097177,3403.275138,38387,32746,603392
128k,10,26,14,poisson,564,330,2656.382176,3517.90113,42276,29971,543744
128k,10,22,18,poisson,564,279,3195.109773,3414.968309,35720,36495,662400
128k,10,20,20,poisson,560,252,3544.111087,3348.779435,32290,39450,720768
128k,10,18,22,poisson,588,253,3484.681215,3263.565075,32465,42946,779904
128k,10,16,24,poisson,616,256,3448.531869,2998.559286,32848,46183,838784
128k,10,14,26,poisson,653,267,3248.892169,2783.393478,34293,49516,898816
128k,10,12,28,poisson,685,275,3198.679307,2578.158346,35200,52482,956288
128k,10,8,32,poisson,763,301,2896.604563,2232.491368,38637,59219,1075072
128k,10,4,36,poisson,938,425,2002.785479,1962.505734,54471,65790,1194368
128k,10,41,4,poisson,442,364,2531.155713,2550.8878,46649,10044,261248
128k,10,36,9,poisson,547,394,2300.667992,2992.783473,50502,19584,412032
128k,10,32,13,poisson,473,303,3032.327371,3193.049034,38794,21762,529920
128k,10,27,18,poisson,526,284,3195.427607,3193.117236,36461,31036,678016
128k,10,30,15,poisson,483,290,3133.983085,3242.114491,37194,24751,589184
128k,10,25,20,poisson,507,253,3585.346187,3275.523686,32501,32534,737664
128k,10,23,22,poisson,515,237,3852.607022,3207.878978,30337,35629,796416
128k,10,21,24,poisson,553,232,3839.366191,3352.280198,29779,41115,855168
128k,10,18,27,poisson,578,220,4083.361948,3019.33365,28213,45910,943744
128k,10,16,29,poisson,629,248,3590.845945,2808.704966,31763,48779,1002624
128k,10,14,31,poisson,652,250,3550.067433,2631.616719,32104,51520,1062656
128k,10,9,36,poisson,751,293,2924.394686,2267.177884,37513,58695,1209600
128k,10,5,40,poisson,865,361,2389.512708,2004.222276,46217,64622,1328512
128k,10,45,5,poisson,461,375,2466.720624,2614.620174,48004,11129,308352
128k,10,40,10,poisson,474,342,2659.12818,3208.408083,43897,16932,456064
128k,10,35,15,poisson,455,287,3223.193408,2989.462043,36848,21590,605312
128k,10,30,20,poisson,489,264,3439.662137,3343.161822,33906,28838,753024
128k,10,33,17,poisson,452,269,3437.509124,3030.849508,34535,23499,663424
128k,10,28,22,poisson,543,274,3265.358493,3349.551355,35100,34535,812544
128k,10,25,25,poisson,536,241,3749.727115,3179.645464,30952,37867,901504
128k,10,23,27,poisson,546,226,3985.795394,3299.66089,28932,40968,960256
128k,10,20,30,poisson,577,221,4085.260794,3021.367843,28326,45685,1048448
128k,10,18,32,poisson,639,262,3341.545455,2849.689819,33659,48267,1107584
128k,10,15,35,poisson,666,259,3395.556746,2602.193024,33259,52132,1196288
128k,10,10,40,poisson,741,284,3095.564236,2259.107851,36417,58547,1343488
128k,10,5,45,poisson,863,355,2416.936021,1987.820139,45540,65034,1492352
128k,20,1,0,poisson,1594,1278,447.376979,1254.152709,163592,40449,207872
128k,20,1,0,poisson,1580,1267,450.640682,1259.878079,162298,40129,207872
128k,20,1,0,poisson,1592,1277,447.654994,1252.101601,163529,40434,207872
128k,20,1,0,poisson,1560,1251,443.682704,1332.416256,160225,39617,207872
128k,20,1,0,poisson,1580,1267,449.718484,1260.836207,162298,40129,207872
128k,20,1,0,poisson,1580,1267,451.222442,1259.655788,162235,40114,207872
128k,20,1,0,poisson,1565,1255,444.617844,1337.355296,160654,39723,207872
128k,20,1,0,poisson,1571,1260,454.017357,1259.708744,161332,39890,207872
128k,20,1,0,poisson,1566,1256,456.253806,1273.560345,160869,39776,207872
128k,20,1,0,poisson,1574,1262,452.313033,1260.762931,161642,39967,207872
128k,20,1,0,poisson,1650,1323,430.067448,1230.922414,169428,41892,207872
128k,20,1,0,poisson,1562,1253,456.72975,1271.41564,160470,39677,207872
128k,20,1,0,poisson,1570,1259,453.388855,1266.030788,161208,39860,207872
